# prodcon: ms
# configuration:  -c 4000 -operations 1000000
# recorded at: Wed Nov 18 12:02:46 CET 2015
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2685901 ,"operations": 1000000 ,"c": 4000 ,"throughput": 744
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2686368 ,"operations": 1000000 ,"c": 4000 ,"throughput": 744
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2240995 ,"operations": 1000000 ,"c": 4000 ,"throughput": 892
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2248796 ,"operations": 1000000 ,"c": 4000 ,"throughput": 889
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2238724 ,"operations": 1000000 ,"c": 4000 ,"throughput": 893
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2674814 ,"operations": 1000000 ,"c": 4000 ,"throughput": 747
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2251246 ,"operations": 1000000 ,"c": 4000 ,"throughput": 888
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2249475 ,"operations": 1000000 ,"c": 4000 ,"throughput": 889
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2248520 ,"operations": 1000000 ,"c": 4000 ,"throughput": 889
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2683878 ,"operations": 1000000 ,"c": 4000 ,"throughput": 745
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2459837 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4065
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 10164578 ,"operations": 1000000 ,"c": 4000 ,"throughput": 983
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 7487643 ,"operations": 1000000 ,"c": 4000 ,"throughput": 1335
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 10340631 ,"operations": 1000000 ,"c": 4000 ,"throughput": 967
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 11626420 ,"operations": 1000000 ,"c": 4000 ,"throughput": 860
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 10715502 ,"operations": 1000000 ,"c": 4000 ,"throughput": 933
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 9950172 ,"operations": 1000000 ,"c": 4000 ,"throughput": 1005
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 11796785 ,"operations": 1000000 ,"c": 4000 ,"throughput": 847
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 11564980 ,"operations": 1000000 ,"c": 4000 ,"throughput": 864
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 9243407 ,"operations": 1000000 ,"c": 4000 ,"throughput": 1081
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 21604311 ,"operations": 1000000 ,"c": 4000 ,"throughput": 925
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 24010456 ,"operations": 1000000 ,"c": 4000 ,"throughput": 832
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 28158277 ,"operations": 1000000 ,"c": 4000 ,"throughput": 710
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 26824624 ,"operations": 1000000 ,"c": 4000 ,"throughput": 745
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 25533208 ,"operations": 1000000 ,"c": 4000 ,"throughput": 783
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 23978302 ,"operations": 1000000 ,"c": 4000 ,"throughput": 834
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 26827052 ,"operations": 1000000 ,"c": 4000 ,"throughput": 745
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 28478234 ,"operations": 1000000 ,"c": 4000 ,"throughput": 702
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 20336912 ,"operations": 1000000 ,"c": 4000 ,"throughput": 983
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 28920926 ,"operations": 1000000 ,"c": 4000 ,"throughput": 691
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 44564058 ,"operations": 1000000 ,"c": 4000 ,"throughput": 673
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 41123848 ,"operations": 1000000 ,"c": 4000 ,"throughput": 729
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 43556009 ,"operations": 1000000 ,"c": 4000 ,"throughput": 688
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 38944847 ,"operations": 1000000 ,"c": 4000 ,"throughput": 770
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 46157622 ,"operations": 1000000 ,"c": 4000 ,"throughput": 649
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 42708286 ,"operations": 1000000 ,"c": 4000 ,"throughput": 702
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 43144620 ,"operations": 1000000 ,"c": 4000 ,"throughput": 695
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 45927331 ,"operations": 1000000 ,"c": 4000 ,"throughput": 653
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 45704410 ,"operations": 1000000 ,"c": 4000 ,"throughput": 656
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 50952441 ,"operations": 1000000 ,"c": 4000 ,"throughput": 588
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 64674850 ,"operations": 1000000 ,"c": 4000 ,"throughput": 618
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 66354273 ,"operations": 1000000 ,"c": 4000 ,"throughput": 602
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 63290869 ,"operations": 1000000 ,"c": 4000 ,"throughput": 632
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 57187098 ,"operations": 1000000 ,"c": 4000 ,"throughput": 699
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 64651036 ,"operations": 1000000 ,"c": 4000 ,"throughput": 618
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 62272263 ,"operations": 1000000 ,"c": 4000 ,"throughput": 642
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 68096567 ,"operations": 1000000 ,"c": 4000 ,"throughput": 587
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 61545301 ,"operations": 1000000 ,"c": 4000 ,"throughput": 649
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 62008049 ,"operations": 1000000 ,"c": 4000 ,"throughput": 645
{"threads": 40 ,"producers": 20 ,"consumers": 20 ,"runtime": 61436570 ,"operations": 1000000 ,"c": 4000 ,"throughput": 651
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 97195150 ,"operations": 1000000 ,"c": 4000 ,"throughput": 514
{"threads": 50 ,"producers": 25 ,"consumers": 25 ,"runtime": 95577695 ,"operations": 1000000 ,"c": 4000 ,"throughput": 523
