# prodcon: sc-disconn-ms
# configuration: -p 40 -sc_disconn_seed 13 -c 4000 -operations 1000000
# recorded at: Tue Nov 17 16:40:12 CET 2015
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2863291 ,"operations": 1000000 ,"c": 4000 ,"throughput": 698
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2866927 ,"operations": 1000000 ,"c": 4000 ,"throughput": 697
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2863524 ,"operations": 1000000 ,"c": 4000 ,"throughput": 698
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2785377 ,"operations": 1000000 ,"c": 4000 ,"throughput": 718
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2784095 ,"operations": 1000000 ,"c": 4000 ,"throughput": 718
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2782022 ,"operations": 1000000 ,"c": 4000 ,"throughput": 718
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2779426 ,"operations": 1000000 ,"c": 4000 ,"throughput": 719
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2861542 ,"operations": 1000000 ,"c": 4000 ,"throughput": 698
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2854190 ,"operations": 1000000 ,"c": 4000 ,"throughput": 700
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2858375 ,"operations": 1000000 ,"c": 4000 ,"throughput": 699
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 3746091 ,"operations": 1000000 ,"c": 4000 ,"throughput": 2669
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 3730480 ,"operations": 1000000 ,"c": 4000 ,"throughput": 2680
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 3664622 ,"operations": 1000000 ,"c": 4000 ,"throughput": 2728
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 3749179 ,"operations": 1000000 ,"c": 4000 ,"throughput": 2667
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 3520390 ,"operations": 1000000 ,"c": 4000 ,"throughput": 2840
