# prodcon: sc-disconn-ms
# configuration: -p 40 -sc_disconn_seed 13 -c 4000 -operations 1000000
# recorded at: Thu Nov 19 22:50:13 CET 2015
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2166903 ,"operations": 1000000 ,"c": 4000 ,"throughput": 922
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2214724 ,"operations": 1000000 ,"c": 4000 ,"throughput": 903
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2165897 ,"operations": 1000000 ,"c": 4000 ,"throughput": 923
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2159973 ,"operations": 1000000 ,"c": 4000 ,"throughput": 925
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2214973 ,"operations": 1000000 ,"c": 4000 ,"throughput": 902
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2159085 ,"operations": 1000000 ,"c": 4000 ,"throughput": 926
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2214051 ,"operations": 1000000 ,"c": 4000 ,"throughput": 903
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2168015 ,"operations": 1000000 ,"c": 4000 ,"throughput": 922
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2210609 ,"operations": 1000000 ,"c": 4000 ,"throughput": 904
{"threads": 2 ,"producers": 1 ,"consumers": 1 ,"runtime": 2163901 ,"operations": 1000000 ,"c": 4000 ,"throughput": 924
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2192267 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4561
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2184343 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4578
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2172612 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4602
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2173261 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4601
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2169041 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4610
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2171531 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4605
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2180993 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4585
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2172380 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4603
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2167865 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4612
{"threads": 10 ,"producers": 5 ,"consumers": 5 ,"runtime": 2181597 ,"operations": 1000000 ,"c": 4000 ,"throughput": 4583
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2177415 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9185
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2171398 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9210
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2173808 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9200
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2170988 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9212
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2170700 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9213
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2180664 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9171
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2170239 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9215
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2184675 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9154
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2176233 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9190
{"threads": 20 ,"producers": 10 ,"consumers": 10 ,"runtime": 2180098 ,"operations": 1000000 ,"c": 4000 ,"throughput": 9173
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 2177040 ,"operations": 1000000 ,"c": 4000 ,"throughput": 13780
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 2180278 ,"operations": 1000000 ,"c": 4000 ,"throughput": 13759
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 2174523 ,"operations": 1000000 ,"c": 4000 ,"throughput": 13796
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 2176969 ,"operations": 1000000 ,"c": 4000 ,"throughput": 13780
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 2180218 ,"operations": 1000000 ,"c": 4000 ,"throughput": 13760
{"threads": 30 ,"producers": 15 ,"consumers": 15 ,"runtime": 2180140 ,"operations": 1000000 ,"c": 4000 ,"throughput": 13760
